ID	DOCULECT	CONCEPT	CONCEPT_IN_SOURCE	CONCEPT_TYPE	FORM	TOKENS	OCCURRENCES	WORD_FORMS	GLOSS_FORMS	PHRASE_EXAMPLE	GLOSS_EXAMPLE	REFERENCES	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	CROSSID
756	Qiang	(birdcall)	(birdcall)	lexicon	ɕtɕeʴpɕtɕeʴp	ɕ tɕ ʴ/e p ɕ tɕ ʴ/e p	1	ɕtɕeʴpɕtɕeʴp-le:	(birdcall)-DEF:CL	genkuo-le: ʐɑχuɑ-lɑ ɕtɕeʴpɕtɕeʴp-le: thɑ sɑ-kui-hɑ,	parrot-DEF:CL inside-LOC (birdcall)-DEF:CL there make.sound-NAR-PART	737:2:0	3 2 7 1 3 2 7 1	ACYBYBYN	SCEPSCEP	1	1.S.C 1.C.C 1.E.V 1.P.C 1.S.V 1.C.C 1.E.V 1.P.c	2.0 1.5 1.3 1.75 1.3 1.75 1.3 0.8	ɕtɕʴ/epɕtɕʴ/ep	0	1
437	Qiang	(onomatopoeia)	(onomatopoeia)	lexicon	dzeke	d z e k e	1	dzeke	(onomatopoeia)	dʑy-la:-ʁa qeʴ ʂpɑʂpɑ dʑy-le:-tɑ dzeke i-ɕtɕi-kəi-tɕu,	door-DEF:CL-LOC before like/as door-DEF:CL-LOC (onomatopoeia) DIR-push-NAR-PART	222:4:0	1 3 7 1 7	ACXBZ	TSEKE	1	1.T.C 1.S.C 1.E.V 1.K.C 1.E.V	2.0 1.5 1.5 1.75 0.8	dzeke	0	2
438	Qiang	(onomatopoeia)	(onomatopoeia)	lexicon	tʂhəqtʂhɑqtʂhəqtʂhɑq	ʈʂʰ ə q ʈʂʰ ɑ q ʈʂʰ ə q ʈʂʰ ɑ q	1	tʂhəqtʂhɑqtʂhəqtʂhɑq-lɑ-hɑ	(onomatopoeia)-DEF:one-pl	tʂhəqtʂhɑqtʂhəqtʂhɑq-lɑ-hɑ dɑ-ʂp-ȵiɑufu mi: dɑ-qə-kui,	(onomatopoeia)-DEF:one-pl DIR-explode-LNK(as.soon.as) eyes DIR-go-NAR	241:0:0	2 7 1 2 7 1 2 7 1 2 7 1	AXBCYBCYBCYN	CEKCAKCEKCAK	1	1.C.C 1.E.V 1.K.C 1.C.C 1.A.V 1.K.C 1.C.C 1.E.V 1.K.C 1.C.C 1.A.V 1.K.c	2.0 1.5 1.75 1.5 1.3 1.75 1.5 1.3 1.75 1.5 1.3 0.8	ʈʂʰəqʈʂʰɑqʈʂʰəqʈʂʰɑq	0	3
525	Qiang	(sound of chicken)	(sound.of.chicken)	lexicon	qutaq	q u t a/ɑ q	3	qutaq.	(sound.of.chicken)	“entɕi qutaq.	uncle’s.wife (sound.of.chicken)	307:1:0 308:1:0 309:1:0	1 7 1 7 1	AXBYN	KYTAK	1	1.K.C 1.Y.V 1.T.C 1.A.V 1.K.c	2.0 1.5 1.75 1.3 0.8	quta/ɑq	0	4
550	Qiang	(wife)	(wife)	lexicon	sitsəm	s i ts ə m	1	(sitsəm)	(wife)	tsi-lou-ŋuəȵi upu-bəs-le: zaʁue (sitsəm) pe-kui-wɑ.	girl-DEF:one:CL-TOP uncle-snake-DEF:CL helpmate (wife) become-NAR-EMPH	362:3:0	3 7 2 7 4	AXBYN	SICEM	1	1.S.C 1.I.V 1.C.C 1.E.V 1.M.c	2.0 1.5 1.75 1.3 0.8	sitsəm	0	5
399	Qiang	1pl	1pl	lexicon	tɕile	tɕ i l e	17	tɕile	1pl	tɕile tsɑ-χsəʴwu gul-pɑ-ʂ,	1pl this:one-few:all companion-do-LNK	199:0:0 521:0:0 641:0:0 1053:0:0 1055:1:0 1084:0:0 1090:0:0 1159:1:0 1161:1:0 1164:0:0 1177:1:0 1181:0:0 1182:1:0 1184:0:0 1248:0:0 1249:0:0 1255:1:0	2 7 5 7	AXBZ	CILE	1	1.C.C 1.I.V 1.L.C 1.E.V	2.0 1.5 1.75 0.8	tɕile	1	6
400	Qiang	1pl	COP:1pl	lexicon	ŋueʴ	ŋ u ʴ/e	2	hɑ-ŋueʴ-wɑ.”	DIR-COP:1pl-EMPH	ɦɑ-ke hɑ-ŋueʴ-wɑ.”	INT-thus DIR-COP:1pl-EMPH	680:1:1 716:8:1	4 7 7	AXZ	NYE	1	1.N.C 1.Y.V 1.E.V	2.0 1.5 0.8	ŋuʴ/e	0	7
401	Qiang	1pl	CAUS:PRS:1pl	lexicon	ʐɑ:?	ʐ ɑː	1	ŋuə-ʐɑ:?”	COP-CAUS:PRS:1pl	ɦɑlɑ likhemu-ŋuəȵi “ȵi:tsəi ŋuə-ʐɑ:?”	INT Likhemu-TOP WH.kind COP-CAUS:PRS:1pl	969:3:1	3 7	AX	SA	1	1.S.C 1.A.V	2.0 1.5	ʐɑː	0	8
402	Qiang	1pl	PRS:1pl	lexicon	ɑ:ʴ	ɑːʴ/ɑː	2	ŋuə-k-ɑ:ʴ-tɕi?	COP-INF-PRS:1pl-Q	ep-te: kənti e: ŋuə-k-ɑ:ʴ-tɕi?	father-DEF:CL jointly one:CL COP-INF-PRS:1pl-Q	973:3:2 994:4:2	7	X	A	1	1.A.V	1.5	ɑːʴ/ɑː	0	9
403	Qiang	1pl	1pl	lexicon	ʔile	ʔ i l e	1	ʔile	1pl	ʔile ep-te: lə tsoqpi ȵɑ quəquɑ-s-tɑ-ŋuəȵi die-ʂe-jə-ka:-ji,	1pl father-DEF:CL also this:family COM fight-NOM-LOC-TOP DIR-die-REP-INF:PRS-CSM	1251:0:0	1 7 5 7	AXBZ	HILE	1	1.H.C 1.I.V 1.L.C 1.E.V	2.0 1.5 1.75 0.8	ʔile	1	6
