ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Text_ID,Sentence_Number,Phrase_Number
1,qiang,"zəp-le: ȵi-ke: pe-ji qeʴlotʂu-ʁɑ,","zəp-le:\tȵi-ke:\tpe-ji\tqeʴlotʂu-ʁɑ,",earth-DEF:CL\tWH-INDEF:CL\tbecome-CSM\tin.the.past-LOC,,,,1,1,1
2,qiang,"mutu-lɑ mujuqů ʐguə-zi we-i,","mutu-lɑ\tmujuqů\tʐguə-zi\twe-i,",heaven-LOC\tsun\tnine-CL\texist-HS,,,,1,1,2
3,qiang,zəp-le: ə-tɕhəqhɑ-ʐ-əi.,zəp-le:\tə-tɕhəqhɑ-ʐ-əi.,earth-DEF:CL\tDIR-burn-CAUS-HS,,,,1,1,3
4,qiang,"mə ȵɑ ɣlu jə-tʂ-ŋuəȵi,","mə\tȵɑ\tɣlu\tjə-tʂ-ŋuəȵi,",older.brother\tCOM\tyounger.sister\ttwo-CL-TOP,,,,1,2,1
5,qiang,"zuɑmə-ɸu o-ʐgu-tɑ i-pi-χuɑ-ȵi,","zuɑmə-ɸu\to-ʐgu-tɑ\ti-pi-χuɑ-ȵi,",cypress-tree\tone-CL-LOC\tDIR-hide-because-ADV,,,,1,2,2
6,qiang,ɦo-mu-xtɕu-wei.,ɦo-mu-xtɕu-wei.,DIR-NEG-burn-HS,,,,1,2,3
7,qiang,"steke-tɑ mi peʴʐə-s ŋuə-χuɑ-ȵi,","steke-tɑ\tmi\tpeʴʐə-s\tŋuə-χuɑ-ȵi,",later-LOC\tpeople\traise(child)-NOM\tCOP-because-ADV,,,,1,3,1
8,qiang,"mə ȵɑ ɣlu lə-zi i-dʐi-tɕi,","mə\tȵɑ\tɣlu\tlə-zi\ti-dʐi-tɕi,",older.brother\tCOM\tyounger.sister\tDEF-CL\tDIR-discuss-3pl,,,,1,3,2
9,qiang,"ȵutɕuku dzuɑʁl e-xʂe ɦei-bi-ȵi,","ȵutɕuku\tdzuɑʁl\te-xʂe\tɦei-bi-ȵi,",each\tstone.mill\tone-CL\tDIR-carry.on.back-ADV,,,,1,3,3
10,qiang,"ʁu-q-tɑ-wu ɦo-ɣlu,","ʁu-q-tɑ-wu\tɦo-ɣlu,",mountain-head-LOC-ABL\tDIR-roll,,,,1,3,4
11,qiang,"dzuɑʁl jə-xʂe e-tʂetup-tu,","dzuɑʁl\tjə-xʂe\te-tʂetup-tu,",stone.mill\ttwo-CL\tDIR-bump.into-LNK,,,,1,3,5
12,qiang,"ȵizzi oqpi pə-s,","ȵizzi\toqpi\tpə-s,",3dl\tone:family\tdo-NOM,,,,1,3,6
13,qiang,"dzuɑʁl jə-xʂe ɦo-ɣlu-s-tɑ,","dzuɑʁl\tjə-xʂe\tɦo-ɣlu-s-tɑ,",stone.mill\ttwo-CL\tDIR-roll-NOM-LOC,,,,1,3,7
14,qiang,"qhuɑt e-tʂetup-wei,","qhuɑt\te-tʂetup-wei,",as.it.happens\tDIR-bump.into-HS,,,,1,3,8
15,qiang,"ɦɑ-tsəi-ȵike,","ɦɑ-tsəi-ȵike,",INT-this.manner-after,,,,1,3,9
16,qiang,mə ȵɑ ɣlu lə-zi oqpi ɦo-pə-i.,mə\tȵɑ\tɣlu\tlə-zi\toqpi\tɦo-pə-i.,older.brother\tCOM\tyounger.sister\tDEF-CL\tone:family\tDIR-do-HS,,,,1,3,10
17,qiang,"ə-jə-p pe-ȵi,","ə-jə-p\tpe-ȵi,",one-two-year\tbecome-ADV,,,,1,4,1
18,qiang,ɣlu-le: mi qes mɑ-ŋ̥u̥ə̥ ke: i-ɕi.,ɣlu-le:\tmi\tqes\tmɑ-ŋ̥u̥ə̥\tke:\ti-ɕi.,younger.sister-DEF:CL\tpeople\tform\tNEG-COP\tINDEF:CL\tDIR-release,,,,1,4,2
19,qiang,"mə-le: tə-khueq,","mə-le:\ttə-khueq,",older.brother-DEF:CL\tDIR-angry,,,,1,5,1
