ID	ENGLISH	OCCURRENCE	CONCEPT_IN_SOURCE	FORMS	PHRASE	GLOSS
1	INT	512	INT	a // a: // ha // hai! // hɑtu // jɑ // mi // ta // ŋuəȵi // ɑ // ɦa // ɦala // ɦɑ // ɦɑ: // ɦɑlɑ // ɦɑlə // ɦɑta // ɦɑthɑ // ɦɑtɑ // ɦɑtə	ɦɑ-tsəi-ȵike,	INT-this.manner-after
2	TOP	287	TOP	ŋuəȵi	mə ȵɑ ɣlu jə-tʂ-ŋuəȵi,	older.brother COM younger.sister two-CL-TOP
3	LNK	318	LNK	tu // tu118 // wu // ȵi // ȵiɑu // ʂ // ʂɑ // ʂə	dzuɑʁl jə-xʂe e-tʂetup-tu,	stone.mill two-CL DIR-bump.into-LNK
4	DEF	369	DEF // DEF:CL // DEF:one // DEF:one.pile // DEF:one:CL // DEF:one:family // DEF:one:kind // DEF:one:pile // DEF:two:CL	kou // la: // le // le: // lo // lou // louqpi // lɑ // lɑ: // lɑw // lɑχ // lə // ləzzi // ne: // ta: // te: // tou // tɑ	zəp-le: ȵi-ke: pe-ji qeʴlotʂu-ʁɑ,	earth-DEF:CL WH-INDEF:CL become-CSM in.the.past-LOC
5	CL	442	CL // DEF:CL // DEF:one:CL // DEF:two:CL // INDEF:CL // INDEF:one:CL // INDEF:two:CL // one:CL // that:one:CL // this:CL // this:one:CL // this:two:CL	e: // fən // ka: // ke: // kou // kuo // kəzzi // la: // le: // lou // lɑ // lɑ: // lɑw // lə // lə114 // ləzzi // ne: // ou // qu // ste // sɑ // ta: // te: // thou // tou // tse: // tsou // tsəizzi // tsəzzi // tɑu // tɕi // tʂ // tʂɑ // xʂe // ze // zi // zə // ɑz // ɸi // ʐgu	zəp-le: ȵi-ke: pe-ji qeʴlotʂu-ʁɑ,	earth-DEF:CL WH-INDEF:CL become-CSM in.the.past-LOC
6	ADV	198	ADV	tɕi // ȵi // ȵi104 // ȵi110	zuɑmə-ɸu o-ʐgu-tɑ i-pi-χuɑ-ȵi,	cypress-tree one-CL-LOC DIR-hide-because-ADV
7	NAR	431	NAR	kei // ku // kuai // kui // kuɑ // kuə // kəi // tɕi	ɦɑ-ʁə-ȵi ʁopu ɦe-gi-s-tɑ i-phi-kəi,	DIR-go-ADV mountain DIR-low(short)-NOM-LOC DIR-plant-NAR
8	RESULT	145	RESULT	tu // tə	tu ɦɑlɑ ʂkup-le:-ŋuəȵi ɦɑ-tsu kɑpətʂ tou dzə kɑntɕhi-kui-tɕu,	RESULT INT orangutan-DEF:CL-TOP INT-here orphan DEF:one:CL eat think/want-NAR-PART
9	COP	146	COP // COP:1pl // COP:1sg	ŋueʴ // ŋuɑ // ŋuə // ŋ̥u̥ə // ŋ̥u̥ə̥	steke-tɑ mi peʴʐə-s ŋuə-χuɑ-ȵi,	later-LOC people raise(child)-NOM COP-because-ADV
10	EMPH	104	EMPH // go:EMPH	ku // wa // wɑ	“qɑ tɕəu-lɑ o-zů-ȵi qɑ ou-stu je qu-ɑ-wɑ,”	1sg home-LOC DIR-sit-ADV 1sg one:CL-alone live/stay afraid-1sg-EMPH
