ID	GLOSS	GLOSS_LONG	LGR_ABBREVIATION	LGR_GLOSS	GLOSS_IN_SOURCE	OCCURRENCE	CONCEPT_IN_SOURCE	FORMS		
1	TOP	topic marker	TOP 	topic	TOP	285	TOP	ŋuəȵi	jə-tʂ-ŋuəȵi, zuɑmə-ɸu o-ʐgu-tɑ	two-CL-TOP cypress-tree one-CL-LOC
2	ADV	aderbial marker	ADV 	adverb(ial)	ADV	197	ADV	tɕi // ȵi // ȵi104 // ȵi110	i-pi-χuɑ-ȵi, ɦo-mu-xtɕu-wei. steke-tɑ mi peʴʐə-s	DIR-hide-because-ADV DIR-NEG-burn-HS later-LOC people raise(child)-NOM
3	INT	interjection, intensifier	 		INT	507	INT	a // a: // ha // hai! // hɑtu // jɑ // mi // ta // ŋuəȵi // ɑ // ɦa // ɦala // ɦɑ // ɦɑ: // ɦɑlɑ // ɦɑlə // ɦɑta // ɦɑthɑ // ɦɑtɑ // ɦɑtə	ɣʐə-jy, ɦɑlɑ tə-suɑ-ȵi dʐuků	able-ASP INT DIR-divine-ADV knowledge
4	COM	comitative marker	COM 	comitative	COM	64	COM	ȵike // ȵɑ	we-i, zəp-le: ə-tɕhəqhɑ-ʐ-əi. mə ȵɑ ɣlu	exist-HS earth-DEF:CL DIR-burn-CAUS-HS older.brother COM younger.sister
5	GEN	genitive marker	GEN 	genitive	GEN	36	GEN	tɕ // tɕə	“ɦa, qɑ tshəntɕɑ qɑpə-tɕ ʂpəl ȵɑ ɕtɕi:mi	EXCL 1sg Chen.family old.man-GEN kidney COM heart
6	REP	repetition (‘again‘) marker	RECP 	reciprocal	REP	33	REP	ja // jə	kə-jə-kəi-tu,	go-REP-NAR-LNK
7	LNK	clause linker			LNK	317	LNK	tu // tu118 // wu // ȵi // ȵiɑu // ʂ // ʂɑ // ʂə	juɑnʁuɑi, (pitɕ-ŋuəȵi “ʐmətʂi” ʂpi-ʂ qə:ʴ-ŋuəȵi “juɑnʁuɑi”	emperor now-TOP emperor call-LNK before-TOP emperor
8	ASP				ASP	22	ASP	jy // jy123 // jya // jyɑ	ɣʐə-jy, ɦɑlɑ tə-suɑ-ȵi dʐuků	able-ASP INT DIR-divine-ADV knowledge
9	CSM	change of state marker			CSM	34	CSM	i // j // ja // ji // jɑ // jə	zəp-le: ȵi-ke: pe-ji	earth-DEF:CL WH-INDEF:CL become-CSM
10	CL	classifier	CLF 	classifier	CL	441	CL	e: // fən // ka: // ke: // kou // kuo // kəzzi // la: // le: // lou // lɑ // lɑ: // lɑw // lə // lə114 // ləzzi // ne: // ou // qu // ste // sɑ // ta: // te: // thou // tou // tse: // tsou // tsəizzi // tsəzzi // tɑu // tɕi // tʂ // tʂɑ // xʂe // ze // zi // zə // ɑz // ɸi // ʐgu	dɑ-qɑ-kəi-tu, bɑ-la:-ʁɑ e-tʂepe-kəi. ɦɑ-tu tshəntitɕhin-ŋuəȵi ep	DIR-go-NAR-LNK flat.area.on.side.of.hill-DEF:CL-LOC DIR-encounter-NAR INT-RESULT Chen.Diqing-TOP father
